videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,occlusionValue,ptsiScore,los,losDescription,severity,mode,walkableAreaM2,roiAreaRatio,capacityProxy,congestionScore,spacePerPedestrianM2
6d29d28b,0,00:00:00,2025-01-23T11:11:11,11:11:11,2,2,2,2,1,1,0,0.5,28.15,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.117658,8.232,0.2429,
6d29d28b,1,00:00:01,2025-01-23T11:11:12,11:11:12,3,3,3,3,2,1,0,0.4444,37.64,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.3644,
6d29d28b,2,00:00:02,2025-01-23T11:11:13,11:11:13,5,5,6,6,2,3,0,0.5333,59.63,D,"limited space, constrained movement",moderate,roi-testing,,0.117658,8.232,0.6074,
6d29d28b,3,00:00:03,2025-01-23T11:11:14,11:11:14,3,3,6,6,2,1,0,0.4444,37.64,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.3644,
6d29d28b,4,00:00:04,2025-01-23T11:11:15,11:11:15,1,1,6,6,1,0,0,0.3333,15.33,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.117658,8.232,0.1215,
6d29d28b,5,00:00:05,2025-01-23T11:11:16,11:11:16,3,3,8,8,1,2,0,0.5556,39.31,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.3644,
6d29d28b,6,00:00:06,2025-01-23T11:11:17,11:11:17,4,4,10,10,4,0,0,0.3333,46.3,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.4859,
6d29d28b,7,00:00:07,2025-01-23T11:11:18,11:11:18,3,3,10,10,2,1,0,0.4444,37.64,C,"adequate space, noticeable interaction but manageable flow",moderate,roi-testing,,0.117658,8.232,0.3644,
6d29d28b,8,00:00:08,2025-01-23T11:11:19,11:11:19,2,2,10,10,2,0,0,0.3333,25.65,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.117658,8.232,0.2429,
6d29d28b,9,00:00:09,2025-01-23T11:11:20,11:11:20,2,2,11,11,2,0,0,0.3333,25.65,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.117658,8.232,0.2429,
6d29d28b,10,00:00:10,2025-01-23T11:11:21,11:11:21,2,2,11,11,2,0,0,0.3333,25.65,B,"high pedestrian space, comfortable movement",light,roi-testing,,0.117658,8.232,0.2429,
