videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
6d29d28b,6d29d28b:1,1ad095ab,1,0.0,3.38,0.3,2025-01-23T11:11:11,2025-01-23T11:11:14,11:11:11 AM,11:11:14 AM,11:11:11 AM,4,4,1,storage/videos/processed/6d29d28b/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears black. Visibility shows moderate occlusion."
6d29d28b,6d29d28b:2,1a34c1de,2,0.0,0.27,0.27,2025-01-23T11:11:11,2025-01-23T11:11:11,11:11:11 AM,11:11:11 AM,11:11:11 AM,1,0,2,storage/videos/processed/6d29d28b/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
6d29d28b,6d29d28b:3,1bcc48a0,3,0.0,2.27,2.27,2025-01-23T11:11:11,2025-01-23T11:11:13,11:11:11 AM,11:11:13 AM,11:11:13 AM,3,3,0,storage/videos/processed/6d29d28b/tracks/track-3.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
6d29d28b,6d29d28b:5,4280b4db,5,0.3,0.87,0.8,2025-01-23T11:11:11,2025-01-23T11:11:11,11:11:11 AM,11:11:11 AM,11:11:11 AM,1,0,2,storage/videos/processed/6d29d28b/tracks/track-5.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
6d29d28b,6d29d28b:6,f702a48e,6,0.43,0.6,0.55,2025-01-23T11:11:11,2025-01-23T11:11:11,11:11:11 AM,11:11:11 AM,11:11:11 AM,1,0,1,storage/videos/processed/6d29d28b/tracks/track-6.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
6d29d28b,6d29d28b:7,6c2c83b5,7,0.9,5.67,1.55,2025-01-23T11:11:11,2025-01-23T11:11:16,11:11:11 AM,11:11:16 AM,11:11:12 AM,6,4,2,storage/videos/processed/6d29d28b/tracks/track-7.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears black. Visibility shows heavy occlusion."
6d29d28b,6d29d28b:8,b3f22584,8,1.23,1.27,1.23,2025-01-23T11:11:12,2025-01-23T11:11:12,11:11:12 AM,11:11:12 AM,11:11:12 AM,1,0,2,storage/videos/processed/6d29d28b/tracks/track-8.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
6d29d28b,6d29d28b:9,1c4a9d7f,9,1.55,1.67,1.62,2025-01-23T11:11:12,2025-01-23T11:11:12,11:11:12 AM,11:11:12 AM,11:11:12 AM,1,0,2,storage/videos/processed/6d29d28b/tracks/track-9.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears black. Visibility shows heavy occlusion."
6d29d28b,6d29d28b:10,0e5c27d5,10,1.83,1.93,1.88,2025-01-23T11:11:12,2025-01-23T11:11:12,11:11:12 AM,11:11:12 AM,11:11:12 AM,1,1,1,storage/videos/processed/6d29d28b/tracks/track-10.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
6d29d28b,6d29d28b:11,b23405d0,11,2.1,2.17,2.1,2025-01-23T11:11:13,2025-01-23T11:11:13,11:11:13 AM,11:11:13 AM,11:11:13 AM,1,1,1,storage/videos/processed/6d29d28b/tracks/track-11.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
6d29d28b,6d29d28b:19,85d78521,19,2.3,4.73,3.57,2025-01-23T11:11:13,2025-01-23T11:11:15,11:11:13 AM,11:11:15 AM,11:11:14 AM,3,2,0,storage/videos/processed/6d29d28b/tracks/track-19.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
6d29d28b,6d29d28b:20,0f467058,20,5.08,7.52,5.13,2025-01-23T11:11:16,2025-01-23T11:11:18,11:11:16 AM,11:11:18 AM,11:11:16 AM,3,3,1,storage/videos/processed/6d29d28b/tracks/track-20.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows moderate occlusion."
6d29d28b,6d29d28b:24,c76f1a57,24,5.48,11.22,9.12,2025-01-23T11:11:16,2025-01-23T11:11:22,11:11:16 AM,11:11:22 AM,11:11:20 AM,7,7,0,storage/videos/processed/6d29d28b/tracks/track-24.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
6d29d28b,6d29d28b:26,652dfa8b,26,6.38,6.45,6.38,2025-01-23T11:11:17,2025-01-23T11:11:17,11:11:17 AM,11:11:17 AM,11:11:17 AM,1,1,0,storage/videos/processed/6d29d28b/tracks/track-26.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
6d29d28b,6d29d28b:27,02e54845,27,6.42,8.92,7.33,2025-01-23T11:11:17,2025-01-23T11:11:19,11:11:17 AM,11:11:19 AM,11:11:18 AM,3,3,0,storage/videos/processed/6d29d28b/tracks/track-27.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
6d29d28b,6d29d28b:31,9ce107af,31,8.03,11.22,8.32,2025-01-23T11:11:19,2025-01-23T11:11:22,11:11:19 AM,11:11:22 AM,11:11:19 AM,4,0,0,storage/videos/processed/6d29d28b/tracks/track-31.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows light occlusion."
6d29d28b,6d29d28b:39,a9b859f7,39,8.77,8.78,8.78,2025-01-23T11:11:19,2025-01-23T11:11:19,11:11:19 AM,11:11:19 AM,11:11:19 AM,1,0,1,storage/videos/processed/6d29d28b/tracks/track-39.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears gray. Visibility shows moderate occlusion."
6d29d28b,6d29d28b:40,9fb8a458,40,9.1,11.22,9.48,2025-01-23T11:11:20,2025-01-23T11:11:22,11:11:20 AM,11:11:22 AM,11:11:20 AM,3,3,0,storage/videos/processed/6d29d28b/tracks/track-40.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows light occlusion."
