videoId,trackKey,trackId,pedestrianId,offsetSeconds,videoTime,observedAt,clockTime,xNorm,yNorm,occlusionClass,occlusionLabel,insideROI
6d29d28b,6d29d28b:1,1ad095ab,1,0,00:00:00,2025-01-23T11:11:11,11:11:11,0.265201,0.992157,1,moderate occlusion,true
6d29d28b,6d29d28b:1,1ad095ab,1,1,00:00:01,2025-01-23T11:11:12,11:11:12,0.227742,0.812745,0,light occlusion,true
6d29d28b,6d29d28b:1,1ad095ab,1,2,00:00:02,2025-01-23T11:11:13,11:11:13,0.227199,0.713725,1,moderate occlusion,true
6d29d28b,6d29d28b:1,1ad095ab,1,3,00:00:03,2025-01-23T11:11:14,11:11:14,0.228827,0.645098,1,moderate occlusion,true
6d29d28b,6d29d28b:2,1a34c1de,2,0,00:00:00,2025-01-23T11:11:11,11:11:11,0.773073,0.998039,2,heavy occlusion,false
6d29d28b,6d29d28b:3,1bcc48a0,3,0,00:00:00,2025-01-23T11:11:11,11:11:11,0.134636,0.356863,0,light occlusion,true
6d29d28b,6d29d28b:3,1bcc48a0,3,1,00:00:01,2025-01-23T11:11:12,11:11:12,0.13355,0.363725,0,light occlusion,true
6d29d28b,6d29d28b:3,1bcc48a0,3,2,00:00:02,2025-01-23T11:11:13,11:11:13,0.132736,0.363725,0,light occlusion,true
6d29d28b,6d29d28b:5,4280b4db,5,0,00:00:00,2025-01-23T11:11:11,11:11:11,0.852334,1.0,2,heavy occlusion,false
6d29d28b,6d29d28b:6,f702a48e,6,0,00:00:00,2025-01-23T11:11:11,11:11:11,0.303203,0.995098,1,moderate occlusion,false
6d29d28b,6d29d28b:7,6c2c83b5,7,0,00:00:00,2025-01-23T11:11:11,11:11:11,0.807003,1.0,2,heavy occlusion,false
6d29d28b,6d29d28b:7,6c2c83b5,7,1,00:00:01,2025-01-23T11:11:12,11:11:12,0.41721,0.998039,2,heavy occlusion,false
6d29d28b,6d29d28b:7,6c2c83b5,7,2,00:00:02,2025-01-23T11:11:13,11:11:13,0.270087,0.973529,1,moderate occlusion,true
6d29d28b,6d29d28b:7,6c2c83b5,7,3,00:00:03,2025-01-23T11:11:14,11:11:14,0.238599,0.834314,0,light occlusion,true
6d29d28b,6d29d28b:7,6c2c83b5,7,4,00:00:04,2025-01-23T11:11:15,11:11:15,0.2576,0.694118,0,light occlusion,true
6d29d28b,6d29d28b:7,6c2c83b5,7,5,00:00:05,2025-01-23T11:11:16,11:11:16,0.295874,0.639216,1,moderate occlusion,true
6d29d28b,6d29d28b:8,b3f22584,8,1,00:00:01,2025-01-23T11:11:12,11:11:12,0.745928,0.996078,2,heavy occlusion,false
6d29d28b,6d29d28b:9,1c4a9d7f,9,1,00:00:01,2025-01-23T11:11:12,11:11:12,0.482085,0.998039,2,heavy occlusion,false
6d29d28b,6d29d28b:10,0e5c27d5,10,1,00:00:01,2025-01-23T11:11:12,11:11:12,0.227199,0.82451,1,moderate occlusion,true
6d29d28b,6d29d28b:11,b23405d0,11,2,00:00:02,2025-01-23T11:11:13,11:11:13,0.228284,0.748039,1,moderate occlusion,true
6d29d28b,6d29d28b:19,85d78521,19,2,00:00:02,2025-01-23T11:11:13,11:11:13,0.134908,0.365686,0,light occlusion,true
6d29d28b,6d29d28b:19,85d78521,19,3,00:00:03,2025-01-23T11:11:14,11:11:14,0.134093,0.369608,0,light occlusion,true
6d29d28b,6d29d28b:19,85d78521,19,4,00:00:04,2025-01-23T11:11:15,11:11:15,0.134093,0.353922,0,light occlusion,false
6d29d28b,6d29d28b:20,0f467058,20,5,00:00:05,2025-01-23T11:11:16,11:11:16,0.228556,0.467647,1,moderate occlusion,true
6d29d28b,6d29d28b:20,0f467058,20,6,00:00:06,2025-01-23T11:11:17,11:11:17,0.225027,0.436275,0,light occlusion,true
6d29d28b,6d29d28b:20,0f467058,20,7,00:00:07,2025-01-23T11:11:18,11:11:18,0.213355,0.42549,1,moderate occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,5,00:00:05,2025-01-23T11:11:16,11:11:16,0.144137,0.427451,0,light occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,6,00:00:06,2025-01-23T11:11:17,11:11:17,0.186211,0.430392,0,light occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,7,00:00:07,2025-01-23T11:11:18,11:11:18,0.198154,0.457843,0,light occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,8,00:00:08,2025-01-23T11:11:19,11:11:19,0.20304,0.508824,0,light occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,9,00:00:09,2025-01-23T11:11:20,11:11:20,0.19924,0.544118,0,light occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,10,00:00:10,2025-01-23T11:11:21,11:11:21,0.19924,0.545098,0,light occlusion,true
6d29d28b,6d29d28b:24,c76f1a57,24,11,00:00:11,2025-01-23T11:11:22,11:11:22,0.19924,0.545098,0,light occlusion,true
6d29d28b,6d29d28b:26,652dfa8b,26,6,00:00:06,2025-01-23T11:11:17,11:11:17,0.139251,0.378431,0,light occlusion,true
6d29d28b,6d29d28b:27,02e54845,27,6,00:00:06,2025-01-23T11:11:17,11:11:17,0.134636,0.378431,0,light occlusion,true
6d29d28b,6d29d28b:27,02e54845,27,7,00:00:07,2025-01-23T11:11:18,11:11:18,0.140879,0.362745,0,light occlusion,true
6d29d28b,6d29d28b:27,02e54845,27,8,00:00:08,2025-01-23T11:11:19,11:11:19,0.133822,0.37451,0,light occlusion,true
6d29d28b,6d29d28b:31,9ce107af,31,8,00:00:08,2025-01-23T11:11:19,11:11:19,0.55076,0.522549,0,light occlusion,false
6d29d28b,6d29d28b:31,9ce107af,31,9,00:00:09,2025-01-23T11:11:20,11:11:20,0.557003,0.491176,0,light occlusion,false
6d29d28b,6d29d28b:31,9ce107af,31,10,00:00:10,2025-01-23T11:11:21,11:11:21,0.557003,0.491176,0,light occlusion,false
