videoId,offsetSeconds,videoTime,observedAt,clockTime,visiblePedestrians,detectedNow,cumulativeUniquePedestrians,totalPedestriansSoFar,lightOcclusionCount,moderateOcclusionCount,heavyOcclusionCount,trackKey,trackId,pedestrianId,occlusionClass,occlusionLabel,insideROI
6d29d28b,0,00:00:00,2025-01-23T11:11:11,11:11:11,2,2,2,2,1,1,0,6d29d28b:1,1ad095ab,1,1,moderate occlusion,true
6d29d28b,0,00:00:00,2025-01-23T11:11:11,11:11:11,2,2,2,2,1,1,0,6d29d28b:3,1bcc48a0,3,0,light occlusion,true
6d29d28b,1,00:00:01,2025-01-23T11:11:12,11:11:12,3,3,3,3,2,1,0,6d29d28b:1,1ad095ab,1,0,light occlusion,true
6d29d28b,1,00:00:01,2025-01-23T11:11:12,11:11:12,3,3,3,3,2,1,0,6d29d28b:10,0e5c27d5,10,1,moderate occlusion,true
6d29d28b,1,00:00:01,2025-01-23T11:11:12,11:11:12,3,3,3,3,2,1,0,6d29d28b:3,1bcc48a0,3,0,light occlusion,true
6d29d28b,2,00:00:02,2025-01-23T11:11:13,11:11:13,5,5,6,6,2,3,0,6d29d28b:1,1ad095ab,1,1,moderate occlusion,true
6d29d28b,2,00:00:02,2025-01-23T11:11:13,11:11:13,5,5,6,6,2,3,0,6d29d28b:11,b23405d0,11,1,moderate occlusion,true
6d29d28b,2,00:00:02,2025-01-23T11:11:13,11:11:13,5,5,6,6,2,3,0,6d29d28b:19,85d78521,19,0,light occlusion,true
6d29d28b,2,00:00:02,2025-01-23T11:11:13,11:11:13,5,5,6,6,2,3,0,6d29d28b:3,1bcc48a0,3,0,light occlusion,true
6d29d28b,2,00:00:02,2025-01-23T11:11:13,11:11:13,5,5,6,6,2,3,0,6d29d28b:7,6c2c83b5,7,1,moderate occlusion,true
6d29d28b,3,00:00:03,2025-01-23T11:11:14,11:11:14,3,3,6,6,2,1,0,6d29d28b:1,1ad095ab,1,1,moderate occlusion,true
6d29d28b,3,00:00:03,2025-01-23T11:11:14,11:11:14,3,3,6,6,2,1,0,6d29d28b:19,85d78521,19,0,light occlusion,true
6d29d28b,3,00:00:03,2025-01-23T11:11:14,11:11:14,3,3,6,6,2,1,0,6d29d28b:7,6c2c83b5,7,0,light occlusion,true
6d29d28b,4,00:00:04,2025-01-23T11:11:15,11:11:15,1,1,6,6,1,0,0,6d29d28b:7,6c2c83b5,7,0,light occlusion,true
6d29d28b,5,00:00:05,2025-01-23T11:11:16,11:11:16,3,3,8,8,1,2,0,6d29d28b:20,0f467058,20,1,moderate occlusion,true
6d29d28b,5,00:00:05,2025-01-23T11:11:16,11:11:16,3,3,8,8,1,2,0,6d29d28b:24,c76f1a57,24,0,light occlusion,true
6d29d28b,5,00:00:05,2025-01-23T11:11:16,11:11:16,3,3,8,8,1,2,0,6d29d28b:7,6c2c83b5,7,1,moderate occlusion,true
6d29d28b,6,00:00:06,2025-01-23T11:11:17,11:11:17,4,4,10,10,4,0,0,6d29d28b:20,0f467058,20,0,light occlusion,true
6d29d28b,6,00:00:06,2025-01-23T11:11:17,11:11:17,4,4,10,10,4,0,0,6d29d28b:24,c76f1a57,24,0,light occlusion,true
6d29d28b,6,00:00:06,2025-01-23T11:11:17,11:11:17,4,4,10,10,4,0,0,6d29d28b:26,652dfa8b,26,0,light occlusion,true
6d29d28b,6,00:00:06,2025-01-23T11:11:17,11:11:17,4,4,10,10,4,0,0,6d29d28b:27,02e54845,27,0,light occlusion,true
6d29d28b,7,00:00:07,2025-01-23T11:11:18,11:11:18,3,3,10,10,2,1,0,6d29d28b:20,0f467058,20,1,moderate occlusion,true
6d29d28b,7,00:00:07,2025-01-23T11:11:18,11:11:18,3,3,10,10,2,1,0,6d29d28b:24,c76f1a57,24,0,light occlusion,true
6d29d28b,7,00:00:07,2025-01-23T11:11:18,11:11:18,3,3,10,10,2,1,0,6d29d28b:27,02e54845,27,0,light occlusion,true
6d29d28b,8,00:00:08,2025-01-23T11:11:19,11:11:19,2,2,10,10,2,0,0,6d29d28b:24,c76f1a57,24,0,light occlusion,true
6d29d28b,8,00:00:08,2025-01-23T11:11:19,11:11:19,2,2,10,10,2,0,0,6d29d28b:27,02e54845,27,0,light occlusion,true
6d29d28b,9,00:00:09,2025-01-23T11:11:20,11:11:20,2,2,11,11,2,0,0,6d29d28b:24,c76f1a57,24,0,light occlusion,true
6d29d28b,9,00:00:09,2025-01-23T11:11:20,11:11:20,2,2,11,11,2,0,0,6d29d28b:40,9fb8a458,40,0,light occlusion,true
6d29d28b,10,00:00:10,2025-01-23T11:11:21,11:11:21,2,2,11,11,2,0,0,6d29d28b:24,c76f1a57,24,0,light occlusion,true
6d29d28b,10,00:00:10,2025-01-23T11:11:21,11:11:21,2,2,11,11,2,0,0,6d29d28b:40,9fb8a458,40,0,light occlusion,true
