eventId,videoId,type,location,clockTime,offsetSeconds,videoTime,pedestrianId,frame,occlusionClass,occlusionLabel,description
0b4937e9,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,13,1,2,heavy occlusion,Heavy occlusion pedestrian ID #13 detected at frame 1
1eb7cf6a,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,9,1,2,heavy occlusion,Heavy occlusion pedestrian ID #9 detected at frame 1
36124a5c,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,6,1,0,light occlusion,Light occlusion pedestrian ID #6 detected at frame 1
4ae83525,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,10,1,2,heavy occlusion,Heavy occlusion pedestrian ID #10 detected at frame 1
4af68613,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,8,1,1,moderate occlusion,Moderate occlusion pedestrian ID #8 detected at frame 1
67e7b54f,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,2,1,1,moderate occlusion,Moderate occlusion pedestrian ID #2 detected at frame 1
6a743a9c,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,5,1,1,moderate occlusion,Moderate occlusion pedestrian ID #5 detected at frame 1
6c6a61bd,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,1,1,2,heavy occlusion,Heavy occlusion pedestrian ID #1 detected at frame 1
6ea6a895,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,7,1,1,moderate occlusion,Moderate occlusion pedestrian ID #7 detected at frame 1
916d311d,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,14,1,2,heavy occlusion,Heavy occlusion pedestrian ID #14 detected at frame 1
99b621ab,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,11,1,1,moderate occlusion,Moderate occlusion pedestrian ID #11 detected at frame 1
a449d7b7,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,3,1,2,heavy occlusion,Heavy occlusion pedestrian ID #3 detected at frame 1
c74684c5,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,4,1,1,moderate occlusion,Moderate occlusion pedestrian ID #4 detected at frame 1
cf301b13,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,15,1,1,moderate occlusion,Moderate occlusion pedestrian ID #15 detected at frame 1
efa65aa1,cddc3f69,detection,Ateneo Gate 1 Entrance,1:00:00 PM,0.0,00:00:00,12,1,2,heavy occlusion,Heavy occlusion pedestrian ID #12 detected at frame 1
