videoId,trackKey,trackId,pedestrianId,firstOffsetSeconds,lastOffsetSeconds,bestOffsetSeconds,firstObservedAt,lastObservedAt,firstTimestamp,lastTimestamp,bestTimestamp,sampleCount,roiQualifiedSampleCount,maxOcclusionClass,thumbnailPath,previewPath,appearanceSummary
cddc3f69,cddc3f69:1,3e4bfc80,1,0.0,1.65,1.38,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:01 PM,2,0,2,storage/videos/processed/cddc3f69/tracks/track-1.jpg,,"Representative crop suggests head region appears gray, upper clothing appears black, lower clothing appears black. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:2,edd74767,2,0.0,3.07,2.77,2025-01-23T13:00:00,2025-01-23T13:00:03,1:00:00 PM,1:00:03 PM,1:00:02 PM,4,0,2,storage/videos/processed/cddc3f69/tracks/track-2.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:3,6065803d,3,0.0,0.78,0.4,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-3.jpg,,"Representative crop suggests head region appears brown, upper clothing appears black, lower clothing appears black. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:4,6ce47835,4,0.0,4.29,4.2,2025-01-23T13:00:00,2025-01-23T13:00:04,1:00:00 PM,1:00:04 PM,1:00:04 PM,5,3,2,storage/videos/processed/cddc3f69/tracks/track-4.jpg,,"Representative crop suggests head region appears gray, upper clothing appears yellow, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:5,a7dc53dd,5,0.0,0.53,0.52,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,1,storage/videos/processed/cddc3f69/tracks/track-5.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows moderate occlusion."
cddc3f69,cddc3f69:6,a5961361,6,0.0,0.03,0.0,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,1,storage/videos/processed/cddc3f69/tracks/track-6.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears black. Visibility shows light occlusion."
cddc3f69,cddc3f69:7,24381f0f,7,0.0,1.5,1.32,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:01 PM,2,0,2,storage/videos/processed/cddc3f69/tracks/track-7.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:8,fe8ead5c,8,0.0,4.4,4.35,2025-01-23T13:00:00,2025-01-23T13:00:04,1:00:00 PM,1:00:04 PM,1:00:04 PM,5,2,2,storage/videos/processed/cddc3f69/tracks/track-8.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:9,ca700c1d,9,0.0,0.43,0.25,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-9.jpg,,"Representative crop suggests head region appears black, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:10,0d18f798,10,0.0,0.13,0.08,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-10.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:11,34357242,11,0.0,0.85,0.68,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,1,storage/videos/processed/cddc3f69/tracks/track-11.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows moderate occlusion."
cddc3f69,cddc3f69:12,1001e60d,12,0.0,1.4,1.32,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:01 PM,2,0,2,storage/videos/processed/cddc3f69/tracks/track-12.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:13,ca509d41,13,0.0,0.23,0.18,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-13.jpg,,"Representative crop suggests head region appears brown, upper clothing appears red, lower clothing appears red. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:14,15f85e41,14,0.0,0.03,0.03,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-14.jpg,,"Representative crop suggests head region appears brown, upper clothing appears red, lower clothing appears red. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:15,32941aa9,15,0.0,5.24,5.12,2025-01-23T13:00:00,2025-01-23T13:00:05,1:00:00 PM,1:00:05 PM,1:00:05 PM,6,0,2,storage/videos/processed/cddc3f69/tracks/track-15.jpg,,"Representative crop suggests head region appears gray, upper clothing appears black, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:16,cd866f28,16,0.03,1.75,0.15,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:00 PM,2,0,2,storage/videos/processed/cddc3f69/tracks/track-16.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:17,fef7bb91,17,0.07,0.1,0.07,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,1,storage/videos/processed/cddc3f69/tracks/track-17.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows moderate occlusion."
cddc3f69,cddc3f69:23,08b20325,23,0.13,0.15,0.15,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-23.jpg,,"Representative crop suggests head region appears brown, upper clothing appears red, lower clothing appears red. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:28,0a24e2f0,28,0.17,0.52,0.42,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-28.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:29,ed316a91,29,0.18,1.79,1.79,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:01 PM,2,0,2,storage/videos/processed/cddc3f69/tracks/track-29.jpg,,"Representative crop suggests head region appears gray, upper clothing appears blue, lower clothing appears black. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:30,84f35bd0,30,0.18,0.25,0.25,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-30.jpg,,"Representative crop suggests head region appears blue, upper clothing appears blue, lower clothing appears blue. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:31,76363a6b,31,0.18,0.23,0.18,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-31.jpg,,"Representative crop suggests head region appears gray, upper clothing appears pink, lower clothing appears gray. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:36,83ae99d8,36,0.25,0.32,0.28,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-36.jpg,,"Representative crop suggests head region appears brown, upper clothing appears red, lower clothing appears red. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:39,1c6b811e,39,0.32,0.73,0.38,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-39.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:43,66d102a1,43,0.38,0.87,0.8,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,1,2,storage/videos/processed/cddc3f69/tracks/track-43.jpg,,"Representative crop suggests head region appears gray, upper clothing appears brown, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:45,109381d6,45,0.4,0.42,0.42,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,1,2,storage/videos/processed/cddc3f69/tracks/track-45.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:50,f8a27e78,50,0.52,0.65,0.65,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-50.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears gray. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:61,661a1df4,61,0.67,0.72,0.68,2025-01-23T13:00:00,2025-01-23T13:00:00,1:00:00 PM,1:00:00 PM,1:00:00 PM,1,0,2,storage/videos/processed/cddc3f69/tracks/track-61.jpg,,"Representative crop suggests head region appears brown, upper clothing appears red, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:62,45ed239a,62,0.68,1.82,1.28,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:01 PM,2,1,2,storage/videos/processed/cddc3f69/tracks/track-62.jpg,,"Representative crop suggests head region appears black, upper clothing appears black, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:63,3e35aa5d,63,0.68,1.74,0.72,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:00 PM,2,2,2,storage/videos/processed/cddc3f69/tracks/track-63.jpg,,"Representative crop suggests head region appears gray, upper clothing appears gray, lower clothing appears brown. Visibility shows moderate occlusion."
cddc3f69,cddc3f69:65,aab33fa9,65,0.7,3.49,1.03,2025-01-23T13:00:00,2025-01-23T13:00:03,1:00:00 PM,1:00:03 PM,1:00:01 PM,4,2,2,storage/videos/processed/cddc3f69/tracks/track-65.jpg,,"Representative crop suggests head region appears gray, upper clothing appears cyan, lower clothing appears black. Visibility shows moderate occlusion."
cddc3f69,cddc3f69:74,dd5ca983,74,0.82,1.84,1.79,2025-01-23T13:00:00,2025-01-23T13:00:01,1:00:00 PM,1:00:01 PM,1:00:01 PM,2,1,2,storage/videos/processed/cddc3f69/tracks/track-74.jpg,,"Representative crop suggests head region appears gray, upper clothing appears brown, lower clothing appears brown. Visibility shows heavy occlusion."
cddc3f69,cddc3f69:77,9d40473d,77,0.85,3.64,1.95,2025-01-23T13:00:00,2025-01-23T13:00:03,1:00:00 PM,1:00:03 PM,1:00:01 PM,4,2,1,storage/videos/processed/cddc3f69/tracks/track-77.jpg,,"Representative crop suggests head region appears orange, upper clothing appears orange, lower clothing appears gray. Visibility shows moderate occlusion."
